Song,Artist,Popularity,URI
"Don't Ever Play Yourself (feat. Jadakiss, Fabolous, Fat Joe, Busta Rhymes & Kent Jones)",DJ Khaled,30,0QHgL1lAIqAw0HtD7YldmP
Tourist (feat. Travis Scott & Lil Wayne),DJ Khaled,39,0QHgL1lAIqAw0HtD7YldmP
"Forgive Me Father (feat. Meghan Trainor, Wiz Khalifa & Wale)",DJ Khaled,29,0QHgL1lAIqAw0HtD7YldmP
Progress,Mavado,24,0eezS9KmhdjGN436RdTIXu
Take Care In Your Dreaming,The Avalanches,43,3C8RpaI3Go0yFF9whvKoED
HYAENA,Travis Scott,88,0Y5tJX1MQlPlqiwlOH1tJY
THANK GOD,Travis Scott,88,0Y5tJX1MQlPlqiwlOH1tJY
MODERN JAM (feat. Teezo Touchdown),Travis Scott,86,0Y5tJX1MQlPlqiwlOH1tJY
MY EYES,Travis Scott,90,0Y5tJX1MQlPlqiwlOH1tJY
GOD'S COUNTRY,Travis Scott,86,0Y5tJX1MQlPlqiwlOH1tJY
SIRENS,Travis Scott,86,0Y5tJX1MQlPlqiwlOH1tJY
MELTDOWN (feat. Drake),Travis Scott,94,0Y5tJX1MQlPlqiwlOH1tJY
FE!N (feat. Playboi Carti),Travis Scott,93,0Y5tJX1MQlPlqiwlOH1tJY
DELRESTO (ECHOES) (feat. Beyoncé),Travis Scott,85,0Y5tJX1MQlPlqiwlOH1tJY
I KNOW ?,Travis Scott,93,0Y5tJX1MQlPlqiwlOH1tJY
TOPIA TWINS (feat. Rob49 & 21 Savage),Travis Scott,88,0Y5tJX1MQlPlqiwlOH1tJY
CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),Travis Scott,85,0Y5tJX1MQlPlqiwlOH1tJY
PARASAIL (feat. Yung Lean & Dave Chappelle),Travis Scott,82,0Y5tJX1MQlPlqiwlOH1tJY
SKITZO (feat. Young Thug),Travis Scott,85,0Y5tJX1MQlPlqiwlOH1tJY
LOST FOREVER (feat. Westside Gunn),Travis Scott,83,0Y5tJX1MQlPlqiwlOH1tJY
LOOOVE (feat. Kid Cudi),Travis Scott,84,0Y5tJX1MQlPlqiwlOH1tJY
K-POP (feat. Bad Bunny & The Weeknd),Travis Scott,82,0Y5tJX1MQlPlqiwlOH1tJY
TELEKINESIS (feat. SZA & Future),Travis Scott,92,0Y5tJX1MQlPlqiwlOH1tJY
TIL FURTHER NOTICE (feat. James Blake & 21 Savage),Travis Scott,86,0Y5tJX1MQlPlqiwlOH1tJY
0 2 220,days,0,6mUM8NWA2tqDr8EwM3UJMG
10x Harder,2FeetBino,41,5sw4vau0N1fwalr2ACVN9M
1v1 (feat. Lil Yachty),Rio Da Yung Og,61,6O1vRHWVGKJTnWuJmItnsx
Fire Squad,J. Cole,0,6l3HvQ5sa6mXTsMTB19rO5
No Role Modelz,J. Cole,7,6l3HvQ5sa6mXTsMTB19rO5
2018,Gutta100,25,4gwl6a3VQzapp2CYxKNJ3U
007,Lil Double 0,0,4uKEP0JYfpFtngWlgViewd
Life,Lil Double 0,57,4uKEP0JYfpFtngWlgViewd
247,Mike Dimes,45,6rIaHuCIUu32uj2CjlEBN3
Clear Out Ya Mind,lil Petr,3,2WxaQLJXcALc4hpNZGwA9w
Outsidë (feat. Young Thug),Yeat,56,3qiHUAX7zY4Qnjx8TNUzVx
Rëal six,Yeat,57,3qiHUAX7zY4Qnjx8TNUzVx
Nvr again,Yeat,58,3qiHUAX7zY4Qnjx8TNUzVx
Luh gëek,Yeat,56,3qiHUAX7zY4Qnjx8TNUzVx
Doublë,Yeat,66,3qiHUAX7zY4Qnjx8TNUzVx
Jus bëtter,Yeat,68,3qiHUAX7zY4Qnjx8TNUzVx
Jump,Mac Miller,54,4LLpKhyESsyAXpc4laK94U
Dnt lië,Yeat,50,3qiHUAX7zY4Qnjx8TNUzVx
Rollin,KEY!,29,2tMOCIpxj6jwM9e6pmwGiP
Taliban,Yeat,57,3qiHUAX7zY4Qnjx8TNUzVx
Narcoticz (feat. Yung Kayo),Yeat,52,3qiHUAX7zY4Qnjx8TNUzVx
Call më,Yeat,50,3qiHUAX7zY4Qnjx8TNUzVx
Kant dië,Yeat,53,3qiHUAX7zY4Qnjx8TNUzVx
Gëek high (feat. Ken Carson),Yeat,54,3qiHUAX7zY4Qnjx8TNUzVx
Luh m (feat. SeptembersRich),Yeat,50,3qiHUAX7zY4Qnjx8TNUzVx
Smooktobër,Yeat,53,3qiHUAX7zY4Qnjx8TNUzVx
Still countin,Yeat,57,3qiHUAX7zY4Qnjx8TNUzVx
Turn Up 1,Goon Twinn,49,6c2j13ky0HSMOvwTb655Tv
War Ready,DaDa1k,62,3ZkPinm0JEOq2rxTGQvO0b
2's and 4's,Quin Nfn,58,3M1quhETLChtt9NHKVaajX
"Sewed Up, Pt. 2 (Back Again)",Quin Nfn,43,3M1quhETLChtt9NHKVaajX
Ghostpepper,Quin Nfn,34,3M1quhETLChtt9NHKVaajX
Glizzy,Quin Nfn,63,3M1quhETLChtt9NHKVaajX
Let Me In,Quin Nfn,43,3M1quhETLChtt9NHKVaajX
Everlasting,Quin Nfn,42,3M1quhETLChtt9NHKVaajX
Scrimmage (feat. LilCJ Kasino),Quin Nfn,33,3M1quhETLChtt9NHKVaajX
WYM,Quin Nfn,52,3M1quhETLChtt9NHKVaajX
3 Headed Goat (feat. Lil Baby & Polo G),Lil Durk,1,3hcs9uc56yIGFCSy9leWe7
Poles,Quin Nfn,53,3M1quhETLChtt9NHKVaajX
PAINTING PICTURES,Superstar Pride,72,3FBEsNyIwRnOHOf1Rv3SLa
6locc 6a6y,Lil Loaded,73,7scapvSjZLSm0fBgqGM0Mn
Das Him,UnoTheActivist,41,0bZ9jANLkwEFVcSnHnwrpb
Great,Chach,34,5kLXEzKmNTecHeVQDxDP3U
Bëttr 0ff,Yeat,67,3qiHUAX7zY4Qnjx8TNUzVx
Rav3 p4rty (feat. Kranky Kranky),Yeat,59,3qiHUAX7zY4Qnjx8TNUzVx
Nun id change,Yeat,80,3qiHUAX7zY4Qnjx8TNUzVx
Now (feat. Luh geeky),Yeat,56,3qiHUAX7zY4Qnjx8TNUzVx
Slamm,Yeat,61,3qiHUAX7zY4Qnjx8TNUzVx
7 nightz,Yeat,58,3qiHUAX7zY4Qnjx8TNUzVx
Mëan feen (feat. Kranky Kranky),Yeat,57,3qiHUAX7zY4Qnjx8TNUzVx
How it go,Yeat,69,3qiHUAX7zY4Qnjx8TNUzVx
Sum 2 do,Yeat,60,3qiHUAX7zY4Qnjx8TNUzVx
Back up,Yeat,58,3qiHUAX7zY4Qnjx8TNUzVx
Split,Rich The Kid,0,1pPmIToKXyGdsCF6LmqLmI
Bad bënd / DëMON,Yeat,59,3qiHUAX7zY4Qnjx8TNUzVx
Hëavyweight,Yeat,57,3qiHUAX7zY4Qnjx8TNUzVx
Watch,Yeat,57,3qiHUAX7zY4Qnjx8TNUzVx
Shhhh,Yeat,61,3qiHUAX7zY4Qnjx8TNUzVx
